SIMBAD_ID,mass_1,mass_68L_1,mass_68U_1,BCK,e_BCK,Teff,eTeff,logg,elogg,Meta,eMeta1,eMeta2,xi,e_xi,f_xi,S,EBV_p50,EBV_p16,EBV_p84,L,eL1,eL2,age,age_68L,age_68U,mass_2,mass_68L_2,mass_68U_2,rad,rad_68L,rad_68U,eTeff1,eTeff2,elogg1,elogg2,rho,erho1,erho2,M,eM1,eM2,R,eR1,eR2,Warning_M,Warning_R,M_ai,R_ai
HAT-P-27,0.88,0.81,1.03,1.81,0.1,5146,107,4.45,0.16,0.41,0,0.09,0.6,0.15,1,B21,0.00805279026127713,0.00197320068295865,0.0218991006911491,0.543674946237713,0.535749884692149,0.558101813137322,7.564486,2.733067,14.076625,0.928044,0.876908,0.97212,0.921894,0.897628,0.954439,107,107,0.16,0.16,NA,NA,NA,0.943559048019083,0.0397170439188472,0.0397170439188472,0.966825977532519,0.219884867826816,0.219884867826816,1,1,0.851082936212424,0.878894249434801
HAT-P-28,1.03,0.92,1.13,1.51,0.03,5740,55,4.38,0.07,0.13,0.02,0.15,1.33,0.05,0,LBT,0.124124922246997,0.111473110514366,0.1363012231602,1.21551766828319,1.17747302894806,1.25373165269796,5.712314,3.240496,8.342681,1.033351,0.969317,1.097425,1.109636,1.083167,1.137042,55,55,0.07,0.07,NA,NA,NA,1.08794092049318,0.0284447335720824,0.0284447335720824,1.09860775601916,0.11043205685337,0.11043205685337,NA,NA,0.969371604433038,1.0847703328722
HAT-P-30,1.23,1.11,1.33,1.22,0.08,6223,43,4.27,0.13,0.09,0.02,0.1,1.19,0.06,0,B21,0.00283530383025983,0.000765493094444255,0.0075552313128077,2.46397116659377,2.43799156568578,2.49784198014473,2.823139,2.127943,3.462681,1.216909,1.178092,1.258135,1.345152,1.324934,1.365573,43,43,0.13,0.13,NA,NA,NA,1.24643542878312,0.0224975136975249,0.0224975136975249,1.34118442467871,0.246314028937173,0.246314028937173,NA,NA,1.16016112727554,1.32556193725167
HAT-P-34,1.49,1.37,1.57,0.87,0.09,6773,113,4.19,0.11,0.29,0.05,0.2,2.58,0.09,0,B21,0.0489462052675331,0.0295464903598725,0.0676773131713432,4.45812272812823,4.23880743450171,4.69309925928915,0.822486,0.348928,1.404883,1.467899,1.395713,1.52564,1.532218,1.478004,1.591467,113,113,0.11,0.11,NA,NA,NA,1.48026089101307,0.0489337397705341,0.0489337397705341,1.63587826413492,0.254686716143868,0.254686716143868,NA,NA,1.39321866343913,1.54956458084413
HAT-P-38,0.91,0.8,1.02,1.7,0.04,5394,72,4.46,0.08,0.12,0.04,0.13,0.98,0.03,0,LBT,0.0859445918052661,0.0724167054753993,0.0997761968638801,0.722876321586808,0.701734706336068,0.745138686295627,9.021928,4.768868,13.567466,0.916505,0.859705,0.973905,0.968535,0.940885,0.997746,72,72,0.08,0.08,NA,NA,NA,0.965985252845337,0.0326123440617163,0.0326123440617163,0.945201112733656,0.107832386754633,0.107832386754633,NA,NA,0.878645421246727,0.894448100498383
HAT-P-39,1.46,1.36,1.58,1.05,0.07,6574,117,4.11,0.12,0.17,0.05,0.15,1.84,0.05,0,B21,0.0285713039594631,0.0105575028388923,0.0483824304277763,5.16985996582936,4.93047392202774,5.46688370810296,1.698969,1.264409,2.120024,1.465032,1.403214,1.522903,1.738687,1.664292,1.816625,117,117,0.12,0.12,NA,NA,NA,1.38532309968481,0.0473837037110306,0.0473837037110306,1.7541795156573,0.297655537092029,0.297655537092029,NA,NA,1.36953242092808,1.73798250252099
HAT-P-41,1.42,1.25,1.51,1.09,0.07,6435,76,4.09,0.14,0.16,0,0.18,2.37,0.08,0,B21,0.0628016529616622,0.0472111345228008,0.0791135026845773,4.46456636682567,4.29233215241774,4.65568105303429,2.095921,1.616587,2.589186,1.405823,1.336087,1.468438,1.689927,1.638223,1.743387,76,76,0.14,0.14,NA,NA,NA,1.33501957824857,0.0345880053719026,0.0345880053719026,1.77025090596952,0.350717163377408,0.350717163377408,NA,NA,1.31798866411319,1.68787174574297
HAT-P-42,1.2,1.05,1.25,1.46,0.09,5780,39,4.21,0.14,0.31,0.02,0.11,0.98,0.04,0,B21,0.00284916151400665,0.000719174839107802,0.00746187748937147,2.04901401335295,1.99960116598755,2.1013594009536,5.158636,4.516811,6.547397,1.180996,1.119227,1.215091,1.422828,1.397049,1.448979,39,39,0.14,0.14,NA,NA,NA,1.14102623126543,0.0221043669616143,0.0221043669616143,1.42281115551506,0.282209651980395,0.282209651980395,NA,NA,1.03667846591783,1.40726944213155
HAT-P-6,1.2,1.12,1.33,1.02,0.07,6554,24,4.1,0.12,-0.3,0.01,0.1,1.64,0.03,0,B21,0.00178238996301861,0.00045660955985964,0.00504186218893872,4.32700064564728,4.26156082417479,4.39541476210998,3.008326,2.70031,3.651445,1.223223,1.166393,1.266269,1.608215,1.591025,1.62535,24,24,0.12,0.12,NA,NA,NA,1.27602674377933,0.0182863559757679,0.0182863559757679,1.66419197665002,0.280659323418964,0.280659323418964,NA,NA,1.34760869241614,1.58864286634461
HAT-P-67,1.74,1.54,1.86,1.03,0.07,6686,149,3.86,0.09,0.16,0.04,0.21,2.36,0.1,0,TNG,0.0892298916755025,0.0514730848170721,0.125368577861771,13.2224086065749,12.0072753397865,14.5872085128469,1.342135,1.184042,1.558258,1.77345,1.667431,1.861667,2.678178,2.509331,2.854471,149,149,0.09,0.09,NA,NA,NA,1.42177585343362,0.0593726543099538,0.0593726543099538,2.48956440732733,0.322371220748565,0.322371220748565,NA,NA,1.60366685935204,2.48706869948395
