ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	e1_Fe/H	e2_Fe/H	Ref	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a	eOrbit_a	R/a	detached	well_detached	source	mode	database	rho	erho1	erho2
KIC11244118	1,127	0,043139309220246	0,0445982062419555	1,605	0,0226715680975093	0,0233452350598575	5618	64	64	0,224	0,1	0,1	NA	4,079	0,0078102496759066	0,0078102496759066	NA	2,497	0,216228303190798	0,216228303190798	NA	PMS	G	NA	NA	NA	NA	NA	serenelli17	A	NA	0,06507440359764825	0,003716082080976614	0,003833362442633128
KIC11250587	1,2	0,09	0,09	1,59	0,06	0,06	5862	97	97	0,262	0,0721110255092798	0,0721110255092798	NA	NA	NA	NA	NA	2,921	0,270923700814924	0,270923700814924	NA	MS	G	NA	NA	NA	NA	NA	huber13	A	NA	0,07126909824526076	0,009678162149184351	0,009678162149184351
KIC11253226	1,4082	0,0209	0,0095	1,6145	0,012	0,015	6642	77	77	-0,08	0,1	0,1	NA	4,1734	0,0044	0,0055	NA	4,834	0,124	0,184	NA	MS	F	NA	NA	NA	NA	NA	silva17	A	NA	0,07988432734363066	0,0021397547473415495	0,0022908594723162635
KIC11294717	1,139	0,058309518948453	0,0564623768539724	1,897	0,085146931829632	0,0793095202355934	5640	56	56	0,061	0,1	0,1	NA	3,938	0,0241867732448957	0,0251793566240283	NA	4,259	0,376155693776775	0,376155693776775	NA	PMS	G	NA	NA	NA	NA	NA	serenelli17	A	NA	0,03983209252775181	0,005738143210955382	0,0053719377121297105
KIC11295426	1,068	0,011	0,019	1,237	0,006	0,006	5793	74	74	0,136	0,0721110255092798	0,0721110255092798	NA	4,28	0,003	0,003	NA	1,581	0,043	0,04	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	NA	0,1347018450755294	0,0024014116729198227	0,003095900730579507
KIC11307875	1,583	0,188806779539295	0,19366982212002	4,144	0,186102122502673	0,191971352029411	5136	87	87	0,038	0,102	0,102	NA	3,401	0,0161245154965971	0,017	NA	10,77	1,06910966994933	1,06910966994933	NA	PMS	K	NA	NA	NA	NA	NA	serenelli17	A	NA	0,0053104712911366415	0,000955544069667905	0,0009832564284042238
KIC11389393	1,403	0,0827586853448023	0,142270868416553	1,905	0,0721110255092798	0,0754718490564528	6174	66	66	0,14	0,1	0,1	NA	4,019	0,0152970585407784	0,0162788205960997	NA	4,74	0,376421965088296	0,376421965088296	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	NA	0,048448922373930864	0,006199850473475298	0,007569364196830107
KIC11389437	1,192	0,101921538449927	0,0488262224629348	1,69	0,0470106370941726	0,0355105618091294	6158	53	53	-0,023	0,099	0,099	NA	4,059	0,0117046999107196	0,010770329614269	NA	3,883	0,31150081620951	0,31150081620951	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	NA	0,05895593512159045	0,007043960393286166	0,004432079902241238
KIC11395018	1,276	0,0425440947723653	0,0469574275274956	2,18	0,0353411940941446	0,0371618083521241	5650	59	59	0,151	0,099	0,099	NA	3,866	0,0080622577482985	0,0080622577482985	NA	5,253	0,468868246552419	0,468868246552419	NA	PMS	G	NA	NA	NA	NA	NA	serenelli17	A	NA	0,029403063664779676	0,001733784910553113	0,0018525298363129465
KIC11401156	1,176	0,12149485585818	0,112614386292338	2,564	0,106920531236989	0,103947101931704	5115	86	86	0,016	0,1	0,1	NA	3,69	0,0121655250605964	0,0121655250605964	NA	4,412	0,432405384972522	0,432405384972522	NA	PMS	K	NA	NA	NA	NA	NA	serenelli17	A	NA	0,01665576750234266	0,002702337391713979	0,002578269095382862
KIC11401708	1,447	0,0427200187265877	0,0496487663492256	2,563	0,0353836120259083	0,0384187454245971	5859	63	63	0,206	0,1	0,1	NA	3,78	0,0072111025509279	0,0072111025509279	NA	8,962	0,793015564335124	0,793015564335124	NA	PMS	G	NA	NA	NA	NA	NA	serenelli17	A	NA	0,020517956430462683	0,001043586691926829	0,0011605830035387376
KIC11401755	1,059	0,03	0,021	1,632	0,015	0,021	5911	66	66	-0,179	0,0721110255092798	0,0721110255092798	NA	4,039	0,004	0,004	NA	2,982	0,144	0,148	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	NA	0,058163011861549506	0,002299322807558307	0,0025241789523920404
KIC11414712	1,228	0,046690470119715	0,0585234995535981	2,288	0,0376430604494374	0,0431856457633784	5673	61	61	-0,174	0,1	0,1	NA	3,807	0,0078102496759066	0,0078102496759066	NA	5,326	0,450866118759589	0,450866118759589	NA	PMS	G	NA	NA	NA	NA	NA	serenelli17	A	NA	0,02447607059507722	0,001524953070974868	0,001811490880972568
KIC11446443	0,94	0,05	0,05	0,95	0,02	0,02	5850	50	50	0,012	0,0721110255092798	0,0721110255092798	NA	NA	NA	NA	NA	1,141	0,103045827486591	0,103045827486591	NA	MS	G	NA	NA	NA	NA	NA	huber13	A	NA	0,2617389937420294	0,02161250083338405	0,02161250083338405
