Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	Meta	eMeta1	eMeta2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode
9382	EPIC210321327	0.975	0.108	0.108	8.263	0.292	0.292	4647.0	7.0	7.0	1.457881897	0.03026442383	0.03026442383	0.0185	0.0072	0.0072	2.636	0.021	0.021	0.00173	0.00026	0.00026	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9383	EPIC212461400	1.036	0.088	0.088	5.314	0.142	0.142	4791.0	13.0	13.0	1.127104798	0.02365932625	0.02365932625	-0.1037	0.011	0.011	2.957	0.031	0.031	0.00690	0.00081	0.00081	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9384	EPIC229030405	0.919	0.056	0.056	5.686	0.11	0.11	4766.0	9.0	9.0	1.176958981	0.01704815331	0.01704815331	-0.3437	0.0077	0.0077	2.867	0.025	0.025	0.00500	0.00042	0.00042	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9385	EPIC220229326	1.078	0.148	0.148	10.551	0.457	0.457	4571.0	7.0	7.0	1.641474111	0.03767851669	0.03767851669	-0.3143	0.0081	0.0081	2.423	0.024	0.024	0.00092	0.00017	0.00017	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9386	EPIC212446331	0.983	0.066	0.066	7.455	0.161	0.161	4791.0	9.0	9.0	1.421603927	0.01974065827	0.01974065827	-0.6291	0.0084	0.0084	2.626	0.029	0.029	0.00237	0.00022	0.00022	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9387	EPIC203702274	0.649	0.109	0.109	7.899	0.422	0.422	4755.0	13.0	13.0	1.457881897	0.04690985693	0.04690985693	-0.7274	0.0119	0.0119	2.392	0.037	0.037	0.00132	0.00031	0.00031	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9388	EPIC212640515	0.724	0.062	0.062	15.788	0.437	0.437	4240.0	6.0	6.0	1.860936621	0.02392807063	0.02392807063	-0.0147	0.0079	0.0079	1.916	0.021	0.021	0.000184	0.000022	0.000022	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9389	EPIC212532094	1.371	0.059	0.059	9.024	0.126	0.126	4779.0	15.0	15.0	1.761927838	0.04583384671	0.04853879504	-0.3883	0.013	0.013	2.677	0.037	0.037	0.00187	0.00011	0.00011	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9390	EPIC203608670	1.235	0.14	0.14	9.293	0.35	0.35	4620.0	11.0	11.0	1.549003262	0.0331241554	0.0331241554	-0.1988	0.011	0.011	2.494	0.03	0.03	0.00154	0.00025	0.00025	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9391	EPIC246377577	0.929	0.054	0.054	6.084	0.112	0.112	4778.0	9.0	9.0	1.240049772	0.01624231377	0.01624231377	-0.5185	0.0082	0.0082	2.728	0.027	0.027	0.00413	0.00033	0.00033	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9392	EPIC248631577	0.818	0.222	0.222	14.259	1.279	1.279	4530.0	8.0	8.0	1.886490725	0.07896263307	0.07896263307	-0.5425	0.0087	0.0087	2.116	0.027	0.027	0.00028	0.00011	0.00011	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9393	EPIC203572190	1.487	0.076	0.076	8.415	0.141	0.141	4742.0	16.0	16.0	1.509202522	0.01613477951	0.01613477951	-0.0878	0.0139	0.0139	2.652	0.036	0.036	0.00250	0.00018	0.00018	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9394	EPIC212173678	1.267	0.054	0.054	7.564	0.106	0.106	4780.0	8.0	8.0	1.340444115	0.0170544865	0.01626125457	-0.1884	0.0074	0.0074	2.756	0.023	0.023	0.00293	0.00018	0.00018	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9395	EPIC220300441	0.92	0.064	0.064	7.964	0.176	0.176	5078.0	16.0	16.0	1.579783597	0.01942896366	0.01942896366	-1.791	0.0111	0.0111	2.604	0.05	0.05	0.00182	0.00018	0.00018	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9396	EPIC201722849	1.245	0.029	0.029	4.46	0.034	0.034	4885.0	44.0	44.0	1.009025742	0.01701447529	0.01701447529	0.0764	0.0146	0.0146	3.136	0.058	0.058	0.01403	0.00046	0.00046	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9397	EPIC246233179	1.115	0.265	0.265	10.764	0.819	0.819	5034.0	13.0	13.0	1.826074803	0.06482007193	0.06482007193	-1.2779	0.0095	0.0095	2.477	0.039	0.039	0.00089	0.00029	0.00029	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9398	EPIC212213292	1.177	0.077	0.077	7.818	0.165	0.165	4769.0	8.0	8.0	1.45484486	0.01828608345	0.01828608345	-0.1748	0.0074	0.0074	2.704	0.023	0.023	0.00246	0.00022	0.00022	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9399	EPIC206002508	0.968	0.036	0.036	7.924	0.094	0.094	4576.0	7.0	7.0	1.394451681	0.0106822433	0.0106822433	-0.0639	0.0075	0.0075	2.564	0.022	0.022	0.00195	0.00010	0.00010	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9400	EPIC220543117	0.668	0.076	0.076	9.337	0.347	0.347	5017.0	11.0	11.0	1.697229343	0.0322668591	0.0322668591	-0.6655	0.008	0.008	2.282	0.029	0.029	0.00082	0.00013	0.00013	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9401	EPIC211084537	1.235	0.084	0.084	5.175	0.111	0.111	5006.0	10.0	10.0	1.137354111	0.01519397604	0.01392781137	-0.3621	0.0073	0.0073	3.151	0.026	0.026	0.00891	0.00083	0.00083	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9402	EPIC220456374	1.09	0.072	0.072	9.841	0.206	0.206	4602.0	7.0	7.0	1.592176757	0.01888236878	0.01888236878	-0.0534	0.0074	0.0074	2.423	0.022	0.022	0.00114	0.00010	0.00010	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9403	EPIC212420881	0.934	0.05	0.05	5.359	0.09	0.09	5115.0	25.0	25.0	1.248218561	0.01692056423	0.01692056423	-1.1517	0.0151	0.0151	2.917	0.054	0.054	0.00607	0.00045	0.00045	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9404	EPIC203550449	0.682	0.075	0.075	12.132	0.447	0.447	4434.0	15.0	15.0	1.710117365	0.03216996162	0.03216996162	-0.307	0.0172	0.0172	2.2	0.041	0.041	0.000382	0.000060	0.000060	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9405	EPIC211751400	0.944	0.378	0.378	15.908	2.035	2.035	4358.0	6.0	6.0	2.049218023	0.03257208614	0.02869445684	-0.0773	0.0079	0.0079	2.044	0.022	0.022	0.00023	0.00013	0.00013	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9406	EPIC220285233	1.17	0.051	0.051	5.135	0.071	0.071	4714.0	10.0	10.0	1.069298012	0.01258824585	0.01258824585	0.259	0.009	0.009	3.017	0.024	0.024	0.00864	0.00052	0.00052	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9407	EPIC247386830	1.25	0.08	0.08	7.742	0.157	0.157	4956.0	17.0	17.0	1.5132176	0.01865068327	0.01865068327	-0.4398	0.0122	0.0122	2.993	0.037	0.037	0.00269	0.00024	0.00024	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9408	EPIC206060923	1.499	0.138	0.138	18.386	0.55	0.55	4341.0	6.0	6.0	2.034227261	0.02608977941	0.02608977941	-0.2873	0.0084	0.0084	1.937	0.024	0.024	0.000241	0.000031	0.000031	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9409	EPIC212447861	0.952	0.161	0.161	9.882	0.544	0.544	5097.0	20.0	20.0	1.773786445	0.04825494243	0.04825494243	-1.1098	0.013	0.013	2.266	0.048	0.048	0.00099	0.00023	0.00023	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9410	EPIC246436559	0.999	0.035	0.035	4.318	0.049	0.049	4874.0	9.0	9.0	0.9768083373	0.01053668047	0.01053668047	-0.387	0.0076	0.0076	3.106	0.026	0.026	0.01241	0.00061	0.00061	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9411	EPIC220158154	1.076	0.185	0.185	18.604	1.02	1.02	4339.0	6.0	6.0	2.045322979	0.0469507548	0.0469507548	-0.3796	0.0087	0.0087	1.917	0.025	0.025	0.000167	0.000040	0.000040	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9412	EPIC212587659	1.065	0.079	0.079	8.39	0.2	0.2	4641.0	8.0	8.0	1.438225808	0.02374924254	0.02517419709	-0.3866	0.0086	0.0086	2.521	0.027	0.027	0.00180	0.00019	0.00019	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9413	EPIC211637875	1.377	0.077	0.077	4.9	0.087	0.087	5036.0	10.0	10.0	1.301464073	0.01323274895	0.01323274895	-0.0944	0.0069	0.0069	3.224	0.023	0.023	0.01170	0.00090	0.00090	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9414	EPIC210691891	0.936	0.067	0.067	9.087	0.215	0.215	4818.0	10.0	10.0	1.603144373	0.02057754403	0.02057754403	-0.7201	0.0085	0.0085	2.341	0.03	0.03	0.00125	0.00013	0.00013	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9415	EPIC212577231	0.985	0.061	0.061	7.505	0.15	0.15	4780.0	16.0	16.0	1.423245874	0.01802731812	0.01802731812	-0.4947	0.0139	0.0139	2.675	0.04	0.04	0.00233	0.00020	0.00020	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9416	EPIC204072612	1.195	0.137	0.137	9.587	0.366	0.366	4475.0	6.0	6.0	1.521138084	0.03270289773	0.03270289773	0.2931	0.0069	0.0069	2.469	0.018	0.018	0.00136	0.00022	0.00022	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9417	EPIC211008530	1.302	0.129	0.129	10.548	0.331	0.331	4704.0	8.0	8.0	1.689131197	0.02345616678	0.02123493887	-0.1861	0.0075	0.0075	2.477	0.023	0.023	0.00111	0.00015	0.00015	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
