Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	Meta	eMeta1	eMeta2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode
8674	EPIC210669767	1.132	0.104	0.104	12.311	0.375	0.375	4528.0	7.0	7.0	66.77	1.56	1.47	-0.0385	0.0075	0.0075	2.286	0.021	0.021	0.000607	0.000079	0.000079	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8675	EPIC247511206	1.112	0.239	0.239	16.074	1.14	1.14	4539.0	13.0	13.0	99	14	14	-0.4871	0.0142	0.0142	1.928	0.038	0.038	0.000268	0.000081	0.000081	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8676	EPIC212353918	0.913	0.14	0.14	11.086	0.542	0.542	4622.0	17.0	17.0	50.5	5.0	5.0	-0.6272	0.0173	0.0173	2.194	0.046	0.046	0.00067	0.00014	0.00014	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8677	EPIC206091984	1.416	0.128	0.128	11.461	0.328	0.328	4662.0	7.0	7.0	55.9	3.2	3.2	-0.0637	0.0073	0.0073	2.458	0.022	0.022	0.00094	0.00012	0.00012	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8678	EPIC248425241	1.533	0.18	0.18	7.953	0.295	0.295	4759.0	8.0	8.0	29.2	2.2	2.2	0.0872	0.0068	0.0068	2.846	0.021	0.021	0.00305	0.00049	0.00049	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8679	EPIC235946570	1.583	0.116	0.116	20.98	0.494	0.494	4292.0	9.0	9.0	134.6	6.4	6.4	0.2092	0.0116	0.0116	2.137	0.026	0.026	0.000171	0.000017	0.000017	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8680	EPIC204316568	1.067	0.179	0.179	13.166	0.712	0.712	4456.0	6.0	6.0	61.6	6.7	6.7	0.0759	0.0074	0.0074	2.211	0.02	0.02	0.00047	0.00011	0.00011	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8681	EPIC204457473	0.872	0.102	0.102	6.628	0.252	0.252	4826.0	14.0	14.0	21.5	1.7	1.7	-0.6426	0.0115	0.0115	2.617	0.036	0.036	0.00299	0.00049	0.00049	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8682	EPIC211553499	1.007	0.07	0.07	7.9	0.175	0.175	4560.0	7.0	7.0	24.3	1.1	1.1	-0.0396	0.0075	0.0075	2.613	0.022	0.022	0.00204	0.00020	0.00020	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8683	EPIC206000140	0.94	0.063	0.063	8.379	0.18	0.18	4827.0	10.0	10.0	45.77	8.94	5.76	-0.5971	0.0082	0.0082	2.591	0.028	0.028	0.00160	0.00015	0.00015	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
