Teff,logg,Meta,eTeff,elogg,eMeta
6327.0,4.252,-0.311,48.0,0.043,0.079
6325.0,4.22,0.11,91.0,0.17,0.1
6324.0,4.23,0.1,122.18,0.1875,0.14200000000000002
6322.0,4.28,0.11,68.3,0.0665,0.0925
6320.0,4.347,0.24,81.5,0.076,0.175
6319.0,4.24,0.06,199.785,0.1915,0.1355
6314.0,4.49,0.04,65.0,0.12,0.043
6310.0,4.31,0.09,61.88,0.0525,0.082
6310.0,4.417,-0.06,186.5,0.13,0.275
6310.0,4.19,-0.16,100.0,0.03,0.05
6308.0,4.56,0.29,28.0,0.07,0.02
6304.0,4.43,-0.03,45.0,0.16,0.05
6302.0,4.308,-0.2,102.0,0.02,0.09
6302.0,4.26,0.02,66.81,0.0975,0.082
6302.0,4.23,-0.06,120.0,0.1,0.1
6300.0,4.14,0.0,125.0,0.25,0.3
6300.0,4.3,0.12,80.0,0.15,0.08
6299.0,4.27,0.03,170.175,0.1875,0.149
6297.0,3.96,0.04,60.0,0.1,0.06
6297.0,4.24,0.04,326.295,0.2005,0.14550000000000002
6296.0,4.25,0.02,185.195,0.1835,0.14350000000000002
6296.0,4.26,0.04,208.905,0.187,0.14550000000000002
6295.0,4.291,0.0,77.0,0.025,0.05
6291.0,3.98,0.19,88.425,0.11699999999999999,0.0925
6289.0,4.3,0.0,75.83500000000001,0.062,0.0785
6280.0,4.259,0.0,120.0,0.031,0.14
6277.0,4.402,0.21,189.0,0.14,0.25
6273.0,4.3,0.18,44.0,0.15,0.04
6272.0,4.25,-0.09,96.0,0.02,0.1
6272.0,4.12,-0.27,61.0,0.07,0.06
6267.0,4.27,0.03,109.215,0.1865,0.14100000000000001
6266.0,4.26,0.02,93.12,0.1885,0.14300000000000002
6265.0,4.11,0.12,50.0,0.11,0.07
6261.0,4.27,0.03,114.25,0.1865,0.1535
6260.0,3.9,-0.18,100.0,0.06,0.1
6260.0,4.25,0.09,127.29499999999999,0.1805,0.136
6260.0,4.29,-0.03,172.26,0.1805,0.175
6256.0,4.27,0.02,119.015,0.174,0.14550000000000002
6255.0,4.11,0.01,66.0,0.11,0.04
6252.6,4.372,0.143,1.69,0.0135,0.020999999999999998
6250.0,4.246,0.432,100.0,0.023,0.057
6250.0,4.4,-0.5,200.0,0.1,0.5
6250.0,4.25,0.0,125.0,0.15,0.3
6250.0,4.3,-0.06,140.0,0.15,0.15
6249.0,4.428,-0.04,195.5,0.128,0.275
6247.0,4.26,0.05,146.505,0.1915,0.1395
6246.0,4.433,0.07,216.5,0.135,0.275
6244.0,4.46,-0.2,197.0,0.135,0.3
6241.0,4.28,0.07,142.6,0.159,0.1405
6241.0,4.29,0.0,107.36500000000001,0.1785,0.155
6239.0,4.26,0.05,20.0,0.04,0.01
6237.0,4.11,0.05,95.18,0.161,0.0795
6236.0,4.36,0.09,57.925,0.0115,0.08349999999999999
6235.0,4.26,0.08,50.0,0.035,0.09
6232.0,4.18,-0.03,36.0,0.02,0.03
6231.0,4.14,0.12,81.55,0.15,0.089
6230.0,4.19,0.12,75.055,0.012,0.082
6229.0,4.359,0.15,100.0,0.045,0.069
6229.0,4.28,0.04,117.67500000000001,0.174,0.15000000000000002
6228.0,4.19,-0.1,66.4,0.133,0.126
6228.0,3.94,0.12,78.345,0.0915,0.09
6227.0,4.28,0.04,139.1,0.184,0.14400000000000002
6225.0,4.132,0.03,66.0,0.005,0.06
6224.0,4.29,0.03,133.585,0.177,0.14150000000000001
6224.0,4.27,0.07,139.25,0.17200000000000001,0.143
6222.0,4.28,0.1,93.5,0.04,0.05
6221.0,4.26,0.06,104.12,0.189,0.1375
6218.0,4.147,0.156,47.0,0.0235,0.0945
6218.0,4.62,0.0,20.0,0.04,0.01
6217.0,4.3,0.04,172.2,0.1805,0.14350000000000002
6216.0,3.673,-0.18,78.0,0.026,0.1
6215.0,4.44,-0.06,226.5,0.1365,0.3
6214.0,4.442,0.07,205.0,0.135,0.3
6214.0,4.382,-0.02,195.0,0.152,0.275
6214.0,4.29,0.03,197.965,0.1555,0.14600000000000002
6213.0,4.387,0.36,216.0,0.126,0.2
6213.0,4.174,-0.055,150.0,0.026,0.03
6213.0,4.29,0.04,235.12,0.1875,0.14800000000000002
6212.0,4.2,0.01,75.0,0.12,0.06
6212.0,4.309,-0.04,123.5,0.10550000000000001,0.15
6211.0,4.232,0.17,66.0,0.006,0.06
6210.0,4.018,-0.14,100.0,0.002,0.05
6210.0,4.24,0.12,65.195,0.116,0.0825
6209.0,4.21,0.16,69.01,0.11199999999999999,0.088
6209.0,4.26,0.09,126.815,0.185,0.1405
6209.0,4.18,-0.08,88.0,0.03,0.06
6208.0,4.454,-0.12,226.5,0.1235,0.3
6206.0,4.33,0.02,63.41,0.059000000000000004,0.0775
6203.0,4.01,0.18,86.13499999999999,0.132,0.098
6202.0,4.422,0.21,124.0,0.081,0.15
6202.0,4.29,0.05,123.245,0.1605,0.14
6202.0,4.29,0.06,167.67000000000002,0.17400000000000002,0.14200000000000002
6200.0,4.072,-0.06,124.0,0.14450000000000002,0.15
6200.0,4.29,0.04,200.985,0.1665,0.136
6200.0,3.7,0.0,100.0,0.1,0.1
6199.0,4.27,0.07,113.02,0.188,0.1305
6198.0,4.3,0.02,153.8,0.171,0.14450000000000002
6197.0,3.837,-0.32,123.0,0.163,0.15
6195.0,4.31,0.02,107.245,0.1565,0.14800000000000002
6195.0,4.3,0.04,185.71,0.16,0.14
6194.0,4.29,0.08,55.894999999999996,0.089,0.078
6194.0,4.32,0.0,132.405,0.112,0.15050000000000002
6191.0,4.28,0.06,307.21500000000003,0.183,0.135
6191.0,4.35,0.26,78.505,0.028999999999999998,0.063
6188.0,4.33,-0.02,60.245000000000005,0.0765,0.09
6187.0,4.26,0.11,64.83500000000001,0.099,0.0815
6186.0,4.3,0.06,155.685,0.179,0.1355
6185.0,4.29,0.05,223.0,0.189,0.14300000000000002
6185.0,4.28,0.23,80.545,0.069,0.081
6184.0,4.28,0.02,79.985,0.101,0.086
6184.0,4.28,0.35,56.275,0.049,0.054
6183.0,4.301,0.26,122.0,0.09,0.15
6182.0,4.29,0.05,173.475,0.177,0.14
6179.0,4.31,0.04,179.76,0.175,0.14750000000000002
6179.0,3.93,0.11,51.28,0.0375,0.0775
6177.0,4.37,0.35,62.0,0.1,0.04
6177.0,4.32,0.03,189.29500000000002,0.1675,0.14900000000000002
6176.0,4.29,0.19,30.0,0.055,0.04
6175.0,4.31,0.04,208.35500000000002,0.1785,0.14350000000000002
6175.0,4.44,-0.42,181.0,0.17,0.29000000000000004
6174.0,4.2,0.41,76.575,0.08349999999999999,0.0375
6174.0,4.417,0.1,216.5,0.135,0.275
6173.0,4.24,0.08,61.11,0.1205,0.07700000000000001
6173.0,4.447,-0.04,214.5,0.14,0.275
6170.0,4.29,0.09,61.0,0.11,0.07
6170.0,4.31,0.0,67.78,0.093,0.0975
6170.0,4.33,-0.01,153.17000000000002,0.14650000000000002,0.158
6170.0,4.25,0.0,1229.695,1.8259999999999998,0.183
6170.0,4.3,0.16,64.85,0.065,0.0885
6169.0,4.21,0.02,67.035,0.133,0.08499999999999999
6169.0,4.47,-0.08,64.0,0.11,0.04
6168.0,4.31,0.03,169.57999999999998,0.1705,0.14450000000000002
6168.0,4.2,0.01,61.0,0.03,0.035
6167.0,4.32,0.01,142.65,0.16,0.153
6167.0,4.333,0.12,123.5,0.0995,0.15
6167.0,4.32,0.01,81.375,0.14400000000000002,0.14400000000000002
6166.0,3.96,0.07,101.25,0.0985,0.0805
6166.0,4.32,0.08,201.08499999999998,0.1685,0.147
6166.0,4.33,-0.01,143.045,0.14750000000000002,0.1675
6164.0,4.227,0.38,122.5,0.11,0.1
6163.0,4.29,0.07,116.47,0.174,0.14100000000000001
6162.0,4.33,0.01,88.96000000000001,0.1395,0.14400000000000002
6161.0,4.32,0.01,211.17000000000002,0.1625,0.154
6161.0,4.545,-0.5,184.5,0.121,0.3
6161.0,4.1,0.3,94.47,0.133,0.0675
6160.0,4.31,0.05,134.425,0.15000000000000002,0.1365
6160.0,4.32,0.03,106.255,0.1525,0.14550000000000002
6160.0,3.976,0.24,123.0,0.1425,0.15
6159.0,4.32,0.05,157.77499999999998,0.149,0.1405
6159.0,4.31,0.03,103.67,0.1715,0.138
6158.0,4.31,0.03,248.31,0.16649999999999998,0.14650000000000002
6158.0,4.32,0.01,287.59000000000003,0.18,0.154
6157.0,4.31,0.03,144.175,0.168,0.14500000000000002
6155.0,4.33,0.03,134.3,0.159,0.149
6155.0,4.34,0.14,60.730000000000004,0.0515,0.0815
6154.0,4.33,0.08,59.870000000000005,0.0675,0.0785
6152.0,4.34,-0.02,203.76999999999998,0.159,0.17099999999999999
6150.0,3.722,0.0,88.5,0.029,0.11
6150.0,4.14,0.05,58.765,0.14600000000000002,0.079
6150.0,3.96,0.22,79.0,0.028499999999999998,0.15
6150.0,4.34,-0.03,87.215,0.1355,0.16
6150.0,4.28,-0.03,66.09,0.1175,0.0975
6150.0,4.102,-0.04,110.0,0.019,0.1
6150.0,4.4,-0.2,100.0,0.12,0.06
6149.0,4.36,0.24,78.775,0.0325,0.076
6146.0,4.3,0.14,62.0,0.02,0.013
6146.0,4.33,0.04,232.635,0.157,0.1505
6144.0,4.13,0.04,54.165,0.014499999999999999,0.0635
6143.0,4.31,-0.01,84.93,0.096,0.087
6140.0,4.34,0.01,140.55,0.14800000000000002,0.1605
6139.0,4.28,0.05,58.97,0.12,0.08349999999999999
6138.0,4.33,0.12,63.730000000000004,0.066,0.07050000000000001
6138.0,4.156,0.049,138.0,0.15,0.235
6137.0,4.33,0.0,168.04000000000002,0.1565,0.1625
6136.0,4.32,0.01,203.51,0.1545,0.15250000000000002
6136.0,4.46,0.06,18.0,0.06,0.02
6133.0,4.33,0.04,139.545,0.156,0.14450000000000002
6132.0,4.29,0.1,117.805,0.1715,0.1355
6132.0,4.29,0.14,111.87,0.1735,0.15
6130.0,4.04,0.05,98.11,0.1445,0.08299999999999999
6129.0,4.31,0.07,96.225,0.151,0.136
6129.0,4.23,0.05,68.61500000000001,0.1225,0.08449999999999999
6127.0,4.33,0.02,242.51,0.1855,0.155
6126.0,4.34,0.01,120.41499999999999,0.14150000000000001,0.154
6125.0,4.33,0.05,134.13,0.14200000000000002,0.14650000000000002
6125.0,4.263,-0.12,21.0,0.031,0.04
6123.0,4.3,0.13,72.185,0.0875,0.0785
6123.0,4.472,-0.14,211.0,0.135,0.3
6123.0,4.55,0.05,65.0,0.11,0.04
6123.0,4.39,0.3,47.0,0.12,0.06
6122.0,4.487,-0.18,179.5,0.13,0.3
6122.0,4.471,-0.1,213.5,0.13,0.3
6122.0,4.487,-0.18,211.0,0.13,0.3
6122.0,4.34,0.29,52.0,0.13,0.06
6120.0,3.94,0.22,140.0,0.04,0.12
6120.0,3.934,0.02,206.0,0.2655,0.275
