hostname,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
ZTF J1230-2655,<a refstr=PARSONS_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025MNRAS.537.2112P/abstract target=ref>Parsons et al. 2025</a>,,10000.0,110.0,-110.0,0.0,0.0123,0.0002,-0.0002,0.0,0.646,0.017,-0.017,0.0,,,,,,,,,,8.07,0.05,-0.05,0.0
HD 97048,<a refstr=PINTE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3.1109P/abstract target=ref>Pinte et al. 2019</a>,Be9.5/AO,10000.0,,,0.0,2.25,,,0.0,2.4,,,0.0,,,,,,1.60206,,,0.0,,,,
AB Aur,<a refstr=CURRIE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp...76C/abstract target=ref>Currie et al. 2022</a>,,9770.0,100.0,-100.0,0.0,,,,,2.4,0.2,-0.2,0.0,,,,,,1.77085,0.03533,-0.03846,0.0,,,,
HIP 65426,<a refstr=CHAUVIN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...605L...9C/abstract target=ref>Chauvin et al. 2017</a>,A2 V,8840.0,200.0,-200.0,0.0,1.77,0.05,-0.05,0.0,1.96,0.04,-0.04,0.0,,,,,,,,,,,,,
HD 56414,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...935L..10G/abstract target=ref>Giacalone et al. 2022</a>,,8500.0,150.0,-150.0,0.0,1.751,0.065,-0.065,0.0,1.89,0.11,-0.11,0.0,0.0,0.3,0.0,0.0,[Fe/H],1.15806,0.01014,-0.01038,0.0,,,,
HIP 99770,<a refstr=CURRIE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221200034C/abstract target=ref>Currie et al. 2022</a>,A5-A6,8000.0,,,0.0,,,,,1.85,0.19,-0.19,0.0,,,,,,1.14176,0.06236,-0.21748,0.0,,,,
MASCARA-4,<a refstr=ZHANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...666A..47Z/abstract target=ref>Zhang et al. 2022</a>,,7800.0,200.0,-200.0,0.0,1.79,0.04,-0.04,0.0,1.75,0.05,-0.05,0.0,,,,,,,,,,4.1,0.05,-0.05,0.0
MASCARA-1,<a refstr=HOOTON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A..75H/abstract target=ref>Hooton et al. 2022</a>,,7490.0,150.0,-150.0,0.0,2.082,0.022,-0.024,0.0,1.9,0.063,-0.068,0.0,0.15,0.15,-0.15,0.0,[Fe/H],1.08279,0.03449,-0.03746,0.0,,,,
WASP-33,<a refstr=CHAKRABARTY__AMP__SENGUPTA_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...39C/abstract target=ref>Chakrabarty &amp; Sengupta 2019</a>,,7430.0,100.0,-100.0,0.0,1.444,0.034,-0.034,0.0,1.495,0.031,-0.031,0.0,,,,,,,,,,,,,
HR 8799,<a refstr=GRAVITY_COLLABORATION_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623L..11G/abstract target=ref>Gravity Collaboration et al. 2019</a>,A5,7400.0,,,0.0,,,,,,,,,-0.5,,,0.0,[Fe/H],,,,,4.0,,,0.0
HATS-58 A,<a refstr=ESPINOZA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...63E/abstract target=ref>Espinoza et al. 2019</a>,,7175.0,54.0,-54.0,0.0,1.433,0.059,-0.059,0.0,1.461,0.043,-0.043,0.0,,,,,,0.68931,0.03904,-0.04291,0.0,4.292,0.028,-0.028,0.0
TOI-2005,<a refstr=BIERYLA_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..273B/abstract target=ref>Bieryla et al. 2025</a>,,7130.0,150.0,-150.0,0.0,2.02,0.14,-0.16,0.0,1.59,0.016,-0.017,0.0,0.0,,,0.0,[m/H],0.96237,0.02395,-0.04962,0.0,3.946,0.035,-0.035,0.0
