hostname,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
CoRoT-36,<a refstr=SEBASTIAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220708742S/abstract target=ref>Sebastian et al. 2022</a>,F3 V,6730.0,140.0,-140.0,0.0,1.52,0.2,-0.1,0.0,1.32,0.09,-0.09,0.0,-0.1,0.1,-0.1,0.0,[Fe/H],,,,,4.16,0.06,-0.06,0.0
Kepler-1326,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6725.0,280.9,-196.41,0.0,1.74,0.628,-0.317,0.0,1.45,0.213,-0.159,0.0,0.02,0.129,-0.168,0.0,[Fe/H],,,,,4.12,0.132,-0.206,0.0
XO-6,<a refstr=CROUZET_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...94C/abstract target=ref>Crouzet et al. 2017</a>,F5,6720.0,100.0,-100.0,0.0,1.93,0.18,-0.18,0.0,1.47,0.06,-0.06,0.0,-0.07,0.1,-0.1,0.0,[Fe/H],,,,,4.04,0.1,-0.1,0.0
Kepler-1375,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6704.0,142.25,-207.96,0.0,1.78,0.691,-0.34,0.0,1.47,0.224,-0.157,0.0,0.09,0.137,-0.143,0.0,[Fe/H],,,,,4.11,0.143,-0.223,0.0
WASP-93,<a refstr=HAY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.3276H/abstract target=ref>Hay et al. 2016</a>,F4,6700.0,100.0,-100.0,0.0,1.524,0.04,-0.04,0.0,1.334,0.033,-0.033,0.0,0.07,0.17,-0.17,0.0,[Fe/H],,,,,4.197,0.019,-0.019,0.0
Kepler-1181,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,6688.0,187.0,-281.0,0.0,1.347,0.473,-0.169,0.0,1.336,0.2,-0.2,0.0,0.07,0.25,-0.35,0.0,[Fe/H],,,,,4.304,0.075,-0.225,0.0
Kepler-1586,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6681.0,268.0,-299.6,0.0,1.75,0.69,-0.37,0.0,1.45,0.235,-0.188,0.0,0.06,0.133,-0.152,0.0,[Fe/H],,,,,4.12,0.15,-0.23,0.0
Kepler-1244,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6680.0,94.5,-106.27,0.0,1.77,0.827,-0.328,0.0,1.46,0.264,-0.14,0.0,0.05,0.143,-0.165,0.0,[Fe/H],,,,,4.1,0.145,-0.254,0.0
Kepler-1051,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6675.0,270.59,-222.6,0.0,1.73,0.622,-0.338,0.0,1.43,0.221,-0.159,0.0,0.04,0.13,-0.166,0.0,[Fe/H],,,,,4.12,0.139,-0.208,0.0
Kepler-1502,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6666.0,321.18,-272.08,0.0,1.72,0.608,-0.332,0.0,1.44,0.231,-0.175,0.0,0.05,0.138,-0.15,0.0,[Fe/H],,,,,4.13,0.137,-0.21,0.0
HIP 21152,<a refstr=FRANSON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221109840F/abstract target=ref>Franson et al. 2022</a>,F5 V,6655.0,125.0,-125.0,0.0,,,,,1.4,0.05,-0.05,0.0,0.13,0.05,-0.05,0.0,[Fe/H],,,,,4.3,0.2,-0.2,0.0
Kepler-1618,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6620.0,213.78,-143.89,0.0,1.65,0.677,-0.292,0.0,1.41,0.216,-0.148,0.0,0.04,0.13,-0.161,0.0,[Fe/H],,,,,4.15,0.129,-0.234,0.0
WASP-79,<a refstr=GRESSIER_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...672A..34G/abstract target=ref>Gressier et al. 2023</a>,F5,6600.0,100.0,-100.0,0.0,1.51,0.04,-0.03,0.0,1.39,0.06,-0.06,0.0,0.03,0.1,-0.1,0.0,[Fe/H],,,,,4.2,0.15,-0.15,0.0
WASP-180 A,<a refstr=TEMPLE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.2467T/abstract target=ref>Temple et al. 2019</a>,F7 V,6600.0,200.0,-200.0,0.0,1.19,0.06,-0.06,0.0,1.3,0.1,-0.1,0.0,0.1,0.2,-0.2,0.0,[Fe/H],,,,,4.42,0.01,-0.01,0.0
HR 2562,<a refstr=GODOY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.185G/abstract target=ref>Godoy et al. 2024</a>,F5 V,6597.0,81.0,-81.0,0.0,1.334,0.027,-0.027,0.0,1.368,0.018,-0.018,0.0,0.1,0.06,-0.06,0.0,[Fe/H],,,,,4.3,0.2,-0.2,0.0
Kepler-1762,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,6572.0,160.0,-251.0,0.0,1.238,0.39,-0.139,0.0,1.298,0.163,-0.2,0.0,0.07,0.2,-0.35,0.0,[Fe/H],,,,,4.365,0.065,-0.208,0.0
Kepler-642,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6570.0,133.26,-201.09,0.0,1.66,0.743,-0.321,0.0,1.4,0.229,-0.157,0.0,0.06,0.13,-0.138,0.0,[Fe/H],,,,,4.14,0.147,-0.247,0.0
K2-243,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,,6570.0,269.0,-171.0,0.0,1.39,0.03,-0.03,0.0,1.29,0.04,-0.06,0.0,-0.03,0.18,-0.19,0.0,[Fe/H],,,,,4.26,0.02,-0.03,0.0
Kepler-1239,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6564.0,153.47,-198.42,0.0,1.57,0.195,-0.16,0.0,1.4,0.081,-0.092,0.0,0.22,0.129,-0.172,0.0,[Fe/H],,,,,4.2,0.069,-0.082,0.0
HATS-11,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,6563.0,361.0,-361.0,0.0,1.54,0.06,-0.06,0.0,1.33,0.09,-0.09,0.0,0.03,0.16,-0.16,0.0,[Fe/H],,,,,4.19,0.05,-0.05,0.0
Kepler-1543,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6561.0,148.25,-171.68,0.0,1.65,0.738,-0.302,0.0,1.39,0.231,-0.14,0.0,0.07,0.137,-0.144,0.0,[Fe/H],,,,,4.14,0.138,-0.25,0.0
Kepler-1487,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6541.0,230.55,-190.33,0.0,1.63,0.647,-0.324,0.0,1.38,0.208,-0.16,0.0,0.04,0.131,-0.153,0.0,[Fe/H],,,,,4.16,0.145,-0.232,0.0
TOI-1516,<a refstr=KAB_AACUTE_TH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220501860K/abstract target=ref>Kab&aacute;th et al. 2022</a>,F8 V,6520.0,90.0,-90.0,0.0,1.14,0.02,-0.02,0.0,1.14,0.06,-0.06,0.0,-0.05,0.1,-0.1,0.0,[Fe/H],,,,,4.25,0.15,-0.15,0.0
Kepler-1515,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6511.0,94.24,-81.34,0.0,1.41,0.113,-0.095,0.0,1.3,0.06,-0.054,0.0,0.07,0.11,-0.109,0.0,[Fe/H],,,,,4.26,0.045,-0.057,0.0
Kepler-40,<a refstr=SANTERNE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1101.0196S/abstract target=ref> Santerne et al. 2011 </a>,F5 IV,6510.0,100.0,-100.0,0.0,2.13,0.06,-0.06,0.0,1.48,0.06,-0.06,0.0,0.1,0.15,-0.1,0.0,[Fe/H],,,,,3.94,0.32,-0.32,0.0
K2-249,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,,6504.0,329.0,-419.0,0.0,1.57,0.06,-0.06,0.0,1.32,0.09,-0.12,0.0,0.04,0.14,-0.16,0.0,[Fe/H],,,,,4.16,0.05,-0.06,0.0
