fit_min_microseconds,fit_max_microseconds,N0,e_N0,tau_microseconds,e_tau_microseconds,B_counts_per_microsecond,e_B_counts_per_microsecond,chi2,ndof,reduced_chi2,p_value
3.0,24.0,35072.846862674625,975.1676193693941,2.0920895594187154,0.043592844919597216,228.1558451177772,5.25336870669486,925.9009894394252,707,1.3096195041576029,4.9810520666607916e-08
1.0,16.0,40246.3702392563,375.579683852937,1.879362566781968,0.022271128655402504,242.34190243453364,8.268019131980846,761.0371491764521,505,1.5070042557949546,1.1511924466708463e-12
1.0,18.0,40255.69514380483,376.0535089375958,1.895117834061862,0.021743317374337965,231.05118646511792,7.006859323672545,872.1377708924022,572,1.5247163826790247,7.287448603023306e-15
1.0,20.0,40255.85807983262,368.01167174438524,1.8947021767975678,0.020833413257136727,231.30912083341937,6.0746509702460285,934.4550311016626,640,1.4600859860963478,2.1748363804289602e-13
1.0,22.0,40255.17667666314,362.0665606793746,1.8883873298145795,0.020149767114728042,235.52993617484364,5.448717317874801,997.1755287311535,708,1.4084400123321377,3.6730351687717164e-12
1.0,24.0,40254.96358913313,356.53592259448686,1.8843153220809359,0.01960078795108274,238.2476691071317,4.965929598999923,1056.0818244386137,775,1.3626862250820821,6.003671377765389e-11
1.0,25.0,40255.04820496855,358.9590614653162,1.886131758935273,0.01966118769292896,237.03469894052088,4.810678158964612,1118.6037046662893,809,1.382699264111606,2.5097058008591937e-12
1.0,30.0,40255.02962413973,359.3378597519541,1.894782637611505,0.019448435041547377,231.32820386423032,4.104047493479831,1361.753360737015,978,1.3923858494243508,4.189894924146781e-15
2.0,16.0,36801.994799503394,593.8709107382547,2.0409248787349217,0.03500029629759735,223.76310183893622,8.831252102315576,667.0439736722844,471,1.416229243465572,6.351934929793285e-09
2.0,18.0,36707.58518668593,588.1002724903651,2.0568108184590934,0.03361309161367838,216.78091546049805,7.322147754383252,771.7896847862144,538,1.434553317446495,1.3374492839537294e-10
2.0,20.0,36765.47946596721,577.9151999487514,2.047902702575845,0.03183123427322567,220.364531626345,6.256591529690528,835.5323230192189,606,1.3787662096026714,1.5564347259976959e-09
2.0,22.0,36875.51497322384,574.3659091319814,2.0315427743951653,0.03058122337223768,226.91530989417467,5.567177244288173,902.3448445865072,674,1.3387905706031265,8.142395663194105e-09
2.0,24.0,36948.73039097382,569.1824073321355,2.020988595131674,0.029610277654777008,231.14373466124567,5.045454149409126,963.8405175390038,741,1.3007294433724748,5.4919502107692634e-08
2.0,25.0,36936.226148480855,572.9415126469024,2.022780836273025,0.02967682920682828,230.42252897710222,4.879881563230705,1025.635042681323,775,1.323400055072675,3.2680425685657465e-09
2.0,30.0,36864.51033756486,570.938092784078,2.0330190192615474,0.02923190437024572,226.37441150648934,4.133212560571878,1264.9957383409446,944,1.3400378584120176,1.0426067376298475e-11
3.0,16.0,34355.262954931044,1013.8006108937235,2.1504576898325296,0.05449918333036616,213.25864060526612,9.843040434691131,625.3912907122594,437,1.4311013517443008,7.717907862115712e-09
3.0,18.0,34201.44675072994,983.9080149874239,2.1651579576482938,0.05132315187074063,208.8824231729058,7.949954466892804,728.3986904993096,504,1.4452354970224397,2.0729946366827708e-10
3.0,20.0,34456.24781201651,971.2491446340616,2.1426802008103043,0.04779358148845418,214.8250812639218,6.658569530451545,793.7810512320259,572,1.3877291105454999,2.046158718523038e-09
3.0,22.0,34828.453148655186,977.2510831562203,2.1115861841304855,0.04537646941050973,223.00230999172882,5.847745240251469,862.9963998964092,640,1.3484318748381394,8.2088558053869e-09
3.0,24.0,35072.846862674625,975.1676193693941,2.0920895594187154,0.043592844919597216,228.1558451177772,5.25336870669486,925.9009894394252,707,1.3096195041576029,4.9810520666607916e-08
3.0,25.0,35048.605074466876,979.0730438624288,2.0940010195619507,0.043607394182279095,227.64557969454106,5.066505242834939,987.516024545142,741,1.332680195067668,2.896481854019403e-09
3.0,30.0,34884.048814043264,962.6933230011336,2.1069834546309707,0.04265884570941304,224.26646616417128,4.24615256792546,1225.7274560501166,910,1.3469532484067215,1.0410166452250835e-11
4.0,16.0,31036.5884338929,1585.3532899452928,2.286719838942631,0.08594096885040313,203.34331938210215,11.151427156201406,560.2498842601311,403,1.3901982239705486,3.333315486152307e-07
4.0,18.0,30960.80121573563,1520.1377544734885,2.293232348733792,0.0789388692157573,201.84588558571338,8.71375601202491,662.661156276743,470,1.4099173537803042,1.0298026786528119e-08
4.0,20.0,31645.723793821344,1529.223105136913,2.2440123523685918,0.07171637377470448,210.49050396460675,7.090118465735051,729.7755723465286,538,1.3564601716478228,6.193319970442146e-08
4.0,22.0,32512.320170000465,1579.2585803217698,2.1875495845166077,0.06693846128886685,220.38701309064552,6.1115146308571315,800.8645686906888,606,1.3215586942090574,1.625034678723382e-07
4.0,24.0,33074.732799276746,1599.7169568399345,2.1537101184284193,0.06366012433957599,226.38856262522327,5.428751077259065,864.7314293933573,673,1.2848906826052857,7.303731193863909e-07
4.0,25.0,33038.622101318695,1602.6924704483981,2.155835140861612,0.06359543866833858,226.00425496004016,5.222347800308644,926.2757538424703,707,1.3101495811067472,4.757396538820783e-08
4.0,30.0,32744.85527026385,1553.5605274661632,2.173177518506046,0.06190646273573003,222.98593623404972,4.334809059089759,1163.9267616978063,876,1.3286835179198702,1.9406260338176209e-10
3.0,24.0,35072.846862674625,975.1676193693941,2.0920895594187154,0.043592844919597216,228.1558451177772,5.25336870669486,925.9009894394252,707,1.3096195041576029,4.9810520666607916e-08
