Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	Meta	eMeta1	eMeta2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode
68	ER_Vul A	1.093	0.07	0.07	1.161	0.06	0.06	6000	52	52	1.567	0.191	0.191				4.33895572247256	0.0528069620912188	0.0528069620912188	0.1667381173068748	0.027969612289519618	0.027969612289519618	3.8611162	MS	F		eker14	6.40439158279963	5.16795865633075	0.866666666666667	12.1888959795788	EB
69	ER_Vul B	1.055	0.06	0.06	1.181	0.14	0.14	5883	52	52	1.5	0.473	0.473				4.30875266440668	0.105886637734529	0.105886637734529	0.15290234902507008	0.055067714618836895	0.055067714618836895	3.9378097	MS	G		eker14	5.68720379146919	11.8543607112616	0.883902770695224	31.5333333333333	EB
70	EW_Ori A	1.173	0.011	0.011	1.169	0.005	0.005	6070	95	95	1.667	0.111	0.111	0.05	0.09	0.09	4.372	0.005	0.005	0.1752935229521272	0.00278594002369598	0.00278594002369598	3.8152312	MS	F		eker14	0.937766410912191	0.427715996578272	1.56507413509061	6.65866826634673	EB
71	EW_Ori B	1.123	0.009	0.009	1.098	0.005	0.005	5900	95	95	1.312	0.091	0.091	0.05	0.09	0.09	4.408	0.005	0.005	0.20252755820232812	0.0032077233111469095	0.0032077233111469095	3.9266662	MS	G		eker14	0.801424755120214	0.455373406193078	1.61016949152542	6.9359756097561	EB
72	EY_Cep A	1.524	0.008	0.008	1.463	0.01	0.01	7090	150	150	4.853	0.456	0.456				4.29	0.006	0.006	0.11618856269637563	0.0024593686985178633	0.0024593686985178633	3.1466212	MS	F		eker14	0.5249343832021	0.683526999316473	2.11565585331453	9.39624974242736	EB
73	EY_Cep B	1.5	0.014	0.014	1.468	0.01	0.01	6970	150	150	4.571	0.441	0.441				4.28	0.006	0.006	0.1131942804250544	0.0025430698503200663	0.0025430698503200663	3.2252812	MS	F		eker14	0.933333333333333	0.681198910081744	2.15208034433286	9.64777947932619	EB
74	FL_Lyr A	1.218	0.016	0.016	1.282	0.03	0.03	6150	100	100	2.109	0.182	0.182				4.31	0.02	0.02	0.13800493073369632	0.009856486015559118	0.009856486015559118	3.7627912	MS	F		eker14	1.3136288998358	2.34009360374415	1.6260162601626	8.62968231389284	EB
75	FL_Lyr B	0.958	0.012	0.012	0.962	0.028	0.028	5300	100	100	0.656	0.065	0.065				4.453	0.025	0.025	0.2568926528943172	0.022661006704130057	0.022661006704130057	4.3199662	MS	G		torres10	1.25260960334029	2.91060291060291	1.88679245283019	9.90853658536585	EB
76	FM_Leo A	1.318	0.007	0.007	1.649	0.043	0.043	6316	240	240	3.882	0.742	0.742				4.124	0.023	0.023	0.07017215823536821	0.005502150530435502	0.005502150530435502	3.6539782	MS	F		eker14	0.531107738998483	2.60764099454215	3.79987333755542	19.1138588356517	EB
77	FM_Leo B	1.287	0.007	0.007	1.512	0.049	0.049	6190	211	211	3.013	0.535	0.535				4.189	0.028	0.028	0.08888624587851324	0.008655230939384277	0.008655230939384277	3.7365712	MS	F		eker14	0.543900543900544	3.24074074074074	3.40872374798061	17.756388981082	EB
78	FS_Mon A	1.632	0.012	0.012	2.061	0.012	0.012	6715	100	100	7.762	0.498	0.498				4.026	0.005	0.005	0.04450384862991096	0.000843427809659985	0.000843427809659985	3.3924337	MS	F		eker14	0.735294117647059	0.582241630276565	1.48920327624721	6.41587219788714	EB
79	FS_Mon B	1.462	0.01	0.01	1.637	0.012	0.012	6550	100	100	4.426	0.295	0.295				4.179	0.006	0.006	0.07956328850996697	0.001832390428014551	0.001832390428014551	3.5005912	MS	F		eker14	0.683994528043776	0.733048259010385	1.52671755725191	6.66516041572526	EB
80	FT_Ori A	2.168	0.022	0.022	1.871	0.013	0.013	9600	400	400	26.669	5.32	5.32				4.237	0.006	0.006	0.07902223451168194	0.0018319966317594412	0.0018319966317594412	1.5013162	MS	A		eker14	1.01476014760148	0.694815606627472	4.16666666666667	19.9482545277288	EB
81	FT_Ori B	1.773	0.02	0.02	1.626	0.013	0.013	8600	300	300	12.972	2.129	2.129				4.272	0.007	0.007	0.09845969871937071	0.0026097156064313638	0.0026097156064313638	2.1568162	MS	A		eker14	1.12803158488438	0.799507995079951	3.48837209302326	16.4122725871107	EB
82	GG_Lup B	2.509	0.024	0.024	1.725	0.019	0.019	10990	624	624	38.905	10.073	10.073							0.11669298622834158	0.00401425818007376	0.00401425818007376	0.590171199999999	MS	B		malkov07	0.956556396970905	1.10144927536232	5.6778889899909	25.8912736152166	EB
83	GG_Ori A	2.342	0.016	0.016	1.852	0.025	0.025	9950	200	200	30.2	2.761	2.761				4.272	0.012	0.012	0.08801877792133828	0.0036148409193824524	0.0036148409193824524	1.2718912	MS	A		eker14	0.683176771989752	1.34989200863931	2.01005025125628	9.14238410596027	EB
84	GG_Ori B	2.337	0.017	0.017	1.83	0.025	0.025	9950	200	200	29.444	2.766	2.766				4.282	0.012	0.012	0.0910367686198305	0.0037893295782492663	0.0037893295782492663	1.2718912	MS	A		eker14	0.727428326914848	1.36612021857923	2.01005025125628	9.39410406194811	EB
85	GX_Gem A	1.488	0.011	0.011	2.334	0.012	0.012	6194	100	100	7.194	0.497	0.497	-0.12	0.1	0.1	3.887	0.004	0.004	0.02793905848452218	0.00047787512361487696	0.00047787512361487696	3.7339492	MS	F		eker14	0.739247311827957	0.51413881748072	1.61446561188247	6.90853489018627	EB
86	GX_Gem B	1.467	0.01	0.01	2.244	0.012	0.012	6166	100	100	6.531	0.467	0.467	-0.12	0.1	0.1	3.904	0.005	0.005	0.030993665870838606	0.0005402483964678855	0.0005402483964678855	3.7523032	MS	F		eker14	0.681663258350375	0.53475935828877	1.62179695102173	7.15051293829429	EB
87	GZ_CMa A	2.201	0.025	0.025	2.49	0.03	0.03	8810	350	350	33.497	6.406	6.406				3.99	0.01	0.01	0.03403559850718124	0.0012895160143928301	0.0012895160143928301	2.0191612	MS	A		eker14	1.13584734211722	1.20481927710843	3.9727582292849	19.1241006657313	EB
