Teff,logg,Meta,L,eTeff,elogg,eMeta,eL
5627.0,4.484,0.07,0.7859953921102107,93.5,0.029,0.11499999999999999,0.034752117921917514
5627.0,4.349,0.081,1.027992627448959,18.0,0.015,0.038,0.021779424675502757
5626.0,4.025,0.409,2.7589891971621023,77.5,0.0285,0.057,0.14652592508340656
5621.0,4.438,0.026,0.8520007949880714,74.0,0.026,0.059,0.04988832003185456
5621.0,4.2,0.37,1.301997049308958,70.0,0.2,0.07,0.0510984730209898
5620.0,4.05,0.29,2.63997612935481,27.0,0.04,0.02,0.17427079668508672
5618.0,4.443,0.007,0.8309980410444321,73.5,0.024,0.058499999999999996,0.045635576163677305
5617.0,4.476,-0.1,0.7430020294457631,72.0,0.014499999999999999,0.10500000000000001,0.05888506337023086
5616.0,4.417,0.04,0.9050029607131748,65.5,0.0205,0.275,0.06741432911686018
5614.0,4.092,0.205,2.1139757447041982,76.5,0.023,0.057,0.12790368968734134
