Teff,logg,Meta,L,eTeff,elogg,eMeta,eL
6089.0,4.277,,,121.0,0.15,,
6088.0,4.472,,,200.0,0.3,,
6087.0,4.34,0.21,,88.0,0.06,,
6086.0,4.26269,,,,,,
6085.0,4.498,,,200.0,0.3,,
6081.0,4.287,,,100.0,0.15,,
6080.0,4.4,-0.12,,215.0,,0.18,
6080.0,3.93,0.22,,100.0,0.02,,
6077.0,4.272,,,136.0,0.15,,
6075.0,4.26,0.0,,100.0,0.17,,
6075.0,4.289,,,131.0,0.15,,
6074.0,4.51,,,,,,
6072.0,,,,75.0,,,
6067.0,4.196,,,100.0,0.15,,
6067.0,4.335,0.022,,,,,
6065.0,4.294,,,117.0,0.15,,
6065.0,4.26,0.15,,100.0,0.12,,
6064.0,4.472,,,200.0,0.3,,
6064.0,4.28,0.01,,14.0,0.04,,
6060.0,4.444,,,86.0,0.058,,
6054.0,4.273,,,100.0,0.15,,
6053.0,4.423,,,200.0,0.3,,
6050.0,3.9,0.15,,100.0,0.05,,
6050.0,4.258,,2.2387211385683394,100.0,0.043,,0.39582742824412487
6050.0,4.299,,,137.0,0.15,,
6045.0,4.293,,,147.0,0.15,,
6043.0,4.467,,,200.0,0.3,,
6040.0,4.28,-0.11,,90.0,0.16,,
6040.0,4.2,0.19,,24.0,0.06,,
6035.0,,,2.199986419835166,65.0,,,0.41177386400653804
6034.0,4.44,0.16,,31.0,0.06,,
6034.0,,,,42.5,,,
6033.0,4.464,,,200.0,0.3,,
6032.0,,0.24,2.137962089502232,,,,0.3182612308922488
6031.0,4.323,,,143.0,0.15,,
6031.0,4.404,,,200.0,0.3,,
6031.0,4.40949,,1.4257717321902579,122.0,,,
6030.0,3.93,0.14,,120.0,0.05,,
6028.0,,,,116.0,,,
6027.0,4.59,0.15,,24.0,0.06,,
6023.0,4.44,,,200.0,0.3,,
6021.0,4.346,,,200.0,0.3,,
6018.0,4.51,,,107.0,0.3,,
6014.95,4.37596,0.228,1.5102887938592684,28.29,,0.026,
6014.0,4.47,0.11,,20.0,0.05,,
6013.72,4.28986,0.108,1.8399244897966713,33.11,,0.031,
6012.0,4.434,,,200.0,0.3,,
6012.0,4.437,,,200.0,0.3,,
6012.0,4.182,,,100.0,0.15,,
6012.0,,0.37,2.6915348039269156,,,,0.236825888241885
6011.9,4.36,,,,,,
6010.0,4.445,,1.1700111486105869,150.0,0.034,,0.2025905940481636
6009.0,,0.16,,64.0,,0.04,
6004.0,,-0.14,,71.0,,0.05,
6004.0,4.304,,,102.0,0.053,,
6003.0,4.17,0.05,,54.0,0.03,,
6002.0,4.472,,,200.0,0.3,,
6001.0,,,,60.0,,,
6000.0,4.5,-0.05,,100.0,0.2,,
6000.0,4.37607,,1.4949270489134205,122.0,,,
5999.0,4.154,0.244,,60.0,,,
5998.0,,0.09,,62.0,,0.04,
5995.0,4.118,,,94.0,0.069,,
5994.0,,,,121.0,,,
5991.0,4.46,0.0,,50.0,0.05,,
5990.0,4.39,0.39,,110.0,0.07,,
5990.0,4.4,-0.15,,80.0,0.01,,
5990.0,4.41,,,,,,
5990.0,4.411,,1.3899846364239115,110.0,0.038,,0.21367444236802058
5987.0,,-0.04,1.3899526312133532,70.0,,0.03,0.18768819659594027
5986.0,4.532,,,200.0,0.3,,
5983.0,4.31,,,150.0,0.15,,
5981.0,4.23,-0.18,,12.0,0.02,,
5981.0,4.18,0.3,,17.0,0.03,,
5979.0,4.306,,,132.0,0.15,,
5979.0,4.27,0.15,,19.0,0.03,,
